domain,instance,obs_pct,true_idx,predicted_idx,spread,correct,obs_count,deltas,posterior,beta
block-words,p02,10,8,6,12,0,1,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0","0.0246,0.0246,0.0246,0.0246,0.0246,0.0246,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0246,0.0246,0.0669",1.0
block-words,p02,30,8,6,3,0,2,"4,3,2,2,2,2,0,0,0,2,2,2,2,2,2,2,4,2,2,4","0.0038,0.0102,0.0278,0.0278,0.0278,0.0278,0.2056,0.2056,0.2056,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0038,0.0278,0.0278,0.0038",1.0
block-words,p02,50,8,6,3,0,2,"4,3,2,2,2,2,0,0,0,2,2,2,2,2,2,2,4,2,2,4","0.0038,0.0102,0.0278,0.0278,0.0278,0.0278,0.2056,0.2056,0.2056,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0038,0.0278,0.0278,0.0038",1.0
block-words,p02,70,8,8,1,1,3,"6,4,2,3,2,3,1,1,0,3,2,2,2,3,3,2,4,3,3,4","0.0008,0.0062,0.0458,0.0169,0.0458,0.0169,0.1245,0.1245,0.3386,0.0169,0.0458,0.0458,0.0458,0.0169,0.0169,0.0458,0.0062,0.0169,0.0169,0.0062",1.0
block-words,p02,100,8,8,1,1,4,"8,6,4,4,4,4,4,4,0,6,2,2,2,6,6,2,4,4,4,6","0.0002,0.0014,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107,0.5818,0.0014,0.0787,0.0787,0.0787,0.0014,0.0014,0.0787,0.0107,0.0107,0.0107,0.0014",1.0
block-words,p02,10,9,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227",1.0
block-words,p02,30,9,0,10,0,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0006,0.0048,0.0961,0.0961,0.0961,0.0006,0.0006,0.0006,0.0006,0.0048,0.0130,0.0130,0.0006",1.0
block-words,p02,50,9,1,9,0,5,"2,0,0,0,0,0,0,5,5,0,0,0,6,6,6,6,4,4,4,5","0.0147,0.1085,0.1085,0.1085,0.1085,0.1085,0.1085,0.0007,0.0007,0.1085,0.1085,0.1085,0.0003,0.0003,0.0003,0.0003,0.0020,0.0020,0.0020,0.0007",1.0
block-words,p02,70,9,9,3,1,7,"5,1,1,1,1,1,4,6,6,0,0,0,6,6,6,6,6,7,5,6","0.0014,0.0752,0.0752,0.0752,0.0752,0.0752,0.0037,0.0005,0.0005,0.2044,0.2044,0.2044,0.0005,0.0005,0.0005,0.0005,0.0005,0.0002,0.0014,0.0005",1.0
block-words,p02,100,9,9,1,1,10,"10,6,6,6,6,6,10,12,12,0,4,4,12,12,8,12,14,10,10,12","0.0000,0.0024,0.0024,0.0024,0.0024,0.0024,0.0000,0.0000,0.0000,0.9528,0.0175,0.0175,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000",1.0
block-words,p02,10,10,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227",1.0
